tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
0, 150, 50, 0.987500, 1, 100, 0.000000, 16.158710
512, 150, 50, 0.987500, 1, 100, 0.075436, 12.827737
1024, 150, 50, 0.987500, 1, 100, 0.053622, 12.950489
1536, 150, 50, 0.987500, 1, 100, 0.040689, 12.776742
2048, 150, 50, 0.987500, 1, 100, 0.024251, 12.685682
2560, 150, 50, 0.987500, 1, 100, 0.000000, 13.727315
3072, 150, 50, 0.987500, 1, 100, 0.000000, 13.849843
3584, 150, 50, 0.987500, 1, 100, 0.000000, 14.515879
4096, 150, 50, 0.987500, 1, 100, 0.000000, 14.297456
4608, 150, 50, 0.987500, 1, 100, 0.000000, 14.193278
5120, 150, 50, 0.987500, 1, 100, 0.000000, 14.099125
5632, 150, 50, 0.987500, 1, 100, 0.000000, 14.124488
6144, 150, 50, 0.987500, 1, 100, 0.000000, 14.661603
6656, 150, 50, 0.987500, 1, 100, 0.000000, 14.094415
7168, 150, 50, 0.987500, 1, 100, 0.000000, 14.483613
7680, 150, 50, 0.987500, 1, 100, 0.000000, 14.463347
8192, 150, 50, 0.987500, 1, 100, 0.000000, 14.278157
8704, 150, 50, 0.987500, 1, 100, 0.000000, 14.573991
9216, 150, 50, 0.987500, 1, 100, 0.000000, 13.248400
9728, 150, 50, 0.987500, 1, 100, 0.000000, 14.527940
10240, 150, 50, 0.987500, 1, 100, 0.000000, 14.415004
10752, 150, 50, 0.987500, 1, 100, 0.000000, 13.698936
11264, 150, 50, 0.987500, 1, 100, 0.000081, 13.976777
11776, 150, 50, 0.987500, 1, 100, 0.000000, 14.145741
12288, 150, 50, 0.987500, 1, 100, 0.000000, 14.358230
12800, 150, 50, 0.987500, 1, 100, 0.000000, 14.739226
13312, 150, 50, 0.987500, 1, 100, 0.000000, 14.015140
13824, 150, 50, 0.987500, 1, 100, 0.000000, 14.218091
14336, 150, 50, 0.987500, 1, 100, 0.000000, 14.212016
14848, 150, 50, 0.987500, 1, 100, 0.000000, 14.358905
15360, 150, 50, 0.987500, 1, 100, 0.000000, 13.901796
15872, 150, 50, 0.987500, 1, 100, 0.000000, 13.879817
16384, 150, 50, 0.987500, 1, 100, 0.000000, 13.771309
16896, 150, 50, 0.987500, 1, 100, 0.000000, 13.535953
17408, 150, 50, 0.987500, 1, 100, 0.000000, 14.011289
17920, 150, 50, 0.987500, 1, 100, 0.000000, 14.488321
18432, 150, 50, 0.987500, 1, 100, 0.000000, 13.768208
18944, 150, 50, 0.987500, 1, 100, 0.000000, 14.447741
19456, 150, 50, 0.987500, 1, 100, 0.000000, 13.897170
19968, 150, 50, 0.987500, 1, 100, 0.000000, 13.946159
20480, 150, 50, 0.987500, 1, 100, 0.000000, 14.076033
20992, 150, 50, 0.987500, 1, 100, 0.000000, 14.535310
21504, 150, 50, 0.987500, 1, 100, 0.000000, 14.398874
22016, 150, 50, 0.987500, 1, 100, 0.000000, 14.119545
22528, 150, 50, 0.987500, 1, 100, 0.000000, 14.481010
23040, 150, 50, 0.987500, 1, 100, 0.000000, 14.876380
23552, 150, 50, 0.987500, 1, 100, 0.000000, 13.728347
24064, 150, 50, 0.987500, 1, 100, 0.000000, 14.249756
24576, 150, 50, 0.987500, 1, 100, 0.000000, 13.396093
25088, 150, 50, 0.987500, 1, 100, 0.000000, 14.554447
25600, 150, 50, 0.987500, 1, 100, 0.000081, 13.906141
0, 150, 50, 0.987500, 1, 100, 0.000000, 15.995155
512, 150, 50, 0.987500, 1, 100, 0.069003, 13.118708
1024, 150, 50, 0.987500, 1, 100, 0.049323, 12.739537
1536, 150, 50, 0.987500, 1, 100, 0.036872, 11.920367
2048, 150, 50, 0.987500, 1, 100, 0.029214, 12.939189
2560, 150, 50, 0.987500, 1, 100, 0.000488, 13.991103
3072, 150, 50, 0.987500, 1, 100, 0.000000, 13.760553
3584, 150, 50, 0.987500, 1, 100, 0.000000, 13.864002
4096, 150, 50, 0.987500, 1, 100, 0.000000, 14.001141
4608, 150, 50, 0.987500, 1, 100, 0.000000, 14.363347
5120, 150, 50, 0.987500, 1, 100, 0.000081, 14.345782
5632, 150, 50, 0.987500, 1, 100, 0.000000, 13.955205
6144, 150, 50, 0.987500, 1, 100, 0.000081, 13.580795
0, 150, 50, 0.987500, 1, 100, 0.000000, 15.543511
512, 150, 50, 0.987500, 1, 100, 0.067055, 12.868673
25600, 150, 50, 0.987500, 1, 100, 0.000000, 14.026017
25600, 150, 50, 0.987500, 1, 100, 0.000000, 14.244175
25600, 150, 50, 0.987500, 1, 100, 0.000000, 0.145346
25600, 150, 50, 0.987500, 1, 100, 0.000000, 0.144691
25600, 150, 50, 0.987500, 1, 100, 0.005955, 0.137765
25600, 150, 50, 0.987500, 1, 100, 0.001571, 0.135686
